Year,01TMEAN,01TMEAN Trendline,02TWinter,02TWinter Trendline,03TSpring,03TSpring Trendline,04TSummer,04TSummer Trendline,05TFall,05TFall Trendline,06TRange,06TRange Trendline,21FrostDays,21FrostDays Trendline,22FrostLast,22FrostLast Trendline,23FrostFirst,23FrostFirst Trendline,24IceDays,24IceDays Trendline,25Tmin10,25Tmin10 Trendline,26Tmin20,26Tmin20 Trendline,27ColdNights,27ColdNights Trendline,28ColdDays,28ColdDays Trendline,29ColdSpell,29ColdSpell Trendline,30HeatingDD,30HeatingDD Trendline,40Tmax90,40Tmax90 Trendline,41SummerDays,41SummerDays Trendline,42Tmax30,42Tmax30 Trendline,43HWDI,43HWDI Trendline,44TropNight,44TropNight Trendline,45Tmin90,45Tmin90 Trendline,46FrostFree,46FrostFree Trendline,47CoolingDD,47CoolingDD Trendline,61GSL,61GSL Trendline,62GSLBegin,62GSLBegin Trendline,63GSLEnd,63GSLEnd Trendline,64GDD0,64GDD0 Trendline,65GDD5,65GDD5 Trendline,66GDD10,66GDD10 Trendline,81PAnnual,81PAnnual Trendline,82PWinter,82PWinter Trendline,83PSpring,83PSpring Trendline,84PSummer,84PSummer Trendline,85PFall,85PFall Trendline,86Pge2,86Pge2 Trendline,87Pge10,87Pge10 Trendline,88Pge20,88Pge20 Trendline,89P3days,89P3days Trendline,90P5days,90P5days Trendline,91SDPI,91SDPI Trendline,92Pge95,92Pge95 Trendline,93DryPeriod,93DryPeriod Trendline,94PDays1,94PDays1 Trendline
1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,-4.27,-3.36,-26.64,-22.97,3.78,3.05,13.42,14.07,-9.42,-7.93,80.81,77.35,226,219.21,157,146,230,249.59,155,153.86,155,153.16,117,105.53,20,12.85,12.33,10.99,7,12,8157.15,7812.29,6.58,8.57,18,18.19,5,2,7,21.07,0,0,3.01,6.24,72,106,8.63,2.2,151,150.86,120,125.62,270,272.85,1832.47,1869.5,1080.02,1116.71,451.36,520.04,368.92,371.05,58.5,67.5,51.54,73.88,106.88,131.6,137.09,95.24,55,53.01,3,4,1,1,33.21,28.66,38.93,35.71,2.79,3.14,12.64,14.69,25,21.05,115,100.59
1951,-4.34,-3.32,-23.56,-22.87,3.12,3.09,14.24,14.08,-11.81,-7.9,77.78,77.28,225,219.14,156,146,194,249.68,167,153.71,171,152.84,121,105.01,21.92,12.72,17.81,10.91,14,12.48,8178.96,7798.93,10.14,8.65,28,18.3,3,2,28,21.37,0,0,4.38,6.39,70,106,0.4,2.29,143,150.88,122,125.64,264,272.9,1769.13,1871.44,1085.12,1118.84,496.86,521.89,336.83,370.48,66.62,67.06,119.74,73.75,86.85,132,70.1,94.74,52,52.91,2,4,0,1,37.14,28.81,50.44,35.82,2.7,3.15,8.77,14.74,20,21.18,107,100.3
1952,-1.45,-3.28,-23.21,-22.78,6.75,3.12,12.74,14.1,-4.18,-7.88,75.74,77.2,202,219.07,147,146,242,249.76,137,153.57,135,152.52,76,104.5,10.68,12.58,7.12,10.84,22,12.96,7104,7785.56,10.41,8.74,12,18.41,0,2,40,21.67,0,0,9.32,6.53,94,106,0,2.38,161,150.89,113,125.66,273,272.95,1883.35,1873.39,1091.42,1120.97,418.77,523.74,336.64,369.91,70.26,66.62,70.7,73.62,124.64,132.39,75.83,94.23,51,52.82,3,4,0,1,17.07,28.96,17.52,35.92,2.7,3.16,10.74,14.79,20,21.32,104,100.01
1953,-1.2,-3.24,-19.86,-22.69,4.28,3.15,14.62,14.11,-4.23,-7.85,77.56,77.13,206,219,155,146,273,249.85,146,153.43,141,152.2,72,103.99,11.51,12.45,7.95,10.76,20,13.44,7074.31,7772.2,13.7,8.82,26,18.52,9,2,26,21.97,0,0,11.78,6.67,117,106,21.51,2.47,149,150.9,125,125.68,273,273,1911.51,1875.34,1168.64,1123.1,536.96,525.59,368.77,369.34,71.19,66.18,31.8,73.5,133.19,132.79,125.85,93.72,57,52.72,2,4,0,1,19.89,29.1,30.35,36.03,2.82,3.16,8.91,14.83,25,21.45,115,99.72
1954,-2.41,-3.2,-21.53,-22.59,-0.58,3.18,14.51,14.13,-2.8,-7.82,74.42,77.06,220,218.93,144,146,258,249.93,141,153.29,149,151.88,82,103.48,14.25,12.32,13.42,10.68,52,13.92,7472.97,7758.83,15.62,8.9,21,18.63,0,2,53,22.26,0,0,10.68,6.82,113,106,0.69,2.56,137,150.91,135,125.71,271,273.05,1861.52,1877.29,1185.51,1125.23,569.49,527.45,372.73,368.77,62.84,65.74,40.27,73.37,170.3,133.19,96.59,93.22,49,52.63,7,4,0,1,33.49,29.25,54.8,36.14,3.15,3.17,25.25,14.88,31,21.59,107,99.44
1955,-3.66,-3.16,-24.1,-22.5,4.16,3.22,14.84,14.14,-10.66,-7.8,77.07,76.98,222,218.86,143,146,250,250.02,155,153.14,155,151.56,126,102.97,12.6,12.18,13.7,10.61,0,14.4,7993.86,7745.46,11.23,8.99,33,18.74,7,2,10,22.56,0,0,7.12,6.96,106,106,19.23,2.65,137,150.92,134,125.73,270,273.1,1918.75,1879.23,1245.75,1127.37,634.23,529.3,396.53,368.2,81.84,65.3,89.27,73.24,127.97,133.59,104.33,92.71,56,52.53,4,4,1,1,30,29.4,36.35,36.24,2.97,3.17,16.08,14.92,17,21.73,118,99.15
1956,-2.98,-3.12,-22.09,-22.41,3.36,3.25,13.85,14.15,-9.34,-7.77,74.15,76.91,233,218.79,142,146,230,250.11,152,153,155,151.24,99,102.46,11.78,12.05,13.42,10.53,29,14.88,7692.97,7732.1,7.95,9.07,21,18.85,0,2,18,22.86,0,0,7.95,7.11,87,106,2.46,2.74,133,150.93,135,125.75,267,273.15,1764.5,1881.18,1108.07,1129.5,533.18,531.15,388.26,367.63,55.8,64.86,67.56,73.12,140.25,133.99,120.76,92.2,56,52.44,4,4,0,1,22.76,29.55,23.96,36.35,3.37,3.18,19.06,14.97,19,21.86,101,98.86
1957,-3.1,-3.08,-20.71,-22.32,1.45,3.28,14.04,14.17,-7.04,-7.75,75.1,76.83,235,218.71,167,146,238,250.19,159,152.86,152,150.92,106,101.95,14.25,11.92,8.77,10.46,13,15.36,7709.29,7718.73,8.49,9.16,11,18.96,0,2,28,23.16,0,0,6.58,7.25,70,106,0,2.83,143,150.94,121,125.77,263,273.2,1687.31,1883.13,1012.32,1131.63,460.87,533,331.27,367.06,55.83,64.42,49.37,72.99,142.5,134.38,89.51,91.7,49,52.34,6,4,0,1,29.84,29.69,42.45,36.46,3.25,3.19,21.6,15.02,23,22,86,98.57
1958,-1.23,-3.05,-19.03,-22.22,5.17,3.32,14.24,14.18,-7.25,-7.72,72.14,76.76,210,218.64,163,146,267,250.28,136,152.71,133,150.6,79,101.43,9.59,11.78,4.93,10.38,45,15.84,7044.72,7705.37,9.59,9.24,14,19.07,1,2,26,23.45,0,0,13.7,7.4,103,106,1.92,2.92,148,150.95,124,125.8,271,273.25,1861.77,1885.07,1124.39,1133.76,483.76,534.85,311.47,366.49,71.83,63.98,54.3,72.86,108.54,134.78,70.54,91.19,48,52.24,1,4,0,1,14.99,29.84,16.12,36.56,2.64,3.19,4.5,15.06,22,22.14,98,98.29
