Station:,"54,-115.8451",,,,Station ID:,48,,Begin Yr:,1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lat:,54,Lon:,-115.8451004,,Country:,Canada,,End Yr:,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trend (/yr):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Significance:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,01TMEAN,01TMEAN Trendline,02TWinter,02TWinter Trendline,03TSpring,03TSpring Trendline,04TSummer,04TSummer Trendline,05TFall,05TFall Trendline,06TRange,06TRange Trendline,21FrostDays,21FrostDays Trendline,22FrostLast,22FrostLast Trendline,23FrostFirst,23FrostFirst Trendline,24IceDays,24IceDays Trendline,25Tmin10,25Tmin10 Trendline,26Tmin20,26Tmin20 Trendline,27ColdNights,27ColdNights Trendline,28ColdDays,28ColdDays Trendline,29ColdSpell,29ColdSpell Trendline,30HeatingDD,30HeatingDD Trendline,40Tmax90,40Tmax90 Trendline,41SummerDays,41SummerDays Trendline,42Tmax30,42Tmax30 Trendline,43HWDI,43HWDI Trendline,44TropNight,44TropNight Trendline,45Tmin90,45Tmin90 Trendline,46FrostFree,46FrostFree Trendline,47CoolingDD,47CoolingDD Trendline,61GSL,61GSL Trendline,62GSLBegin,62GSLBegin Trendline,63GSLEnd,63GSLEnd Trendline,64GDD0,64GDD0 Trendline,65GDD5,65GDD5 Trendline,66GDD10,66GDD10 Trendline,81PAnnual,81PAnnual Trendline,82PWinter,82PWinter Trendline,83PSpring,83PSpring Trendline,84PSummer,84PSummer Trendline,85PFall,85PFall Trendline,86Pge2,86Pge2 Trendline,87Pge10,87Pge10 Trendline,88Pge20,88Pge20 Trendline,89P3days,89P3days Trendline,90P5days,90P5days Trendline,91SDPI,91SDPI Trendline,92Pge95,92Pge95 Trendline,93DryPeriod,93DryPeriod Trendline,94PDays1,94PDays1 Trendline
1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,-0.55,0.94,-18.27,-12.96,6.23,6.28,13.85,13.05,-6.16,-2.92,79.43,71.68,224.00,215.38,144.00,147.44,251.00,247.67,123.00,98.67,132.00,115.50,70.00,52.43,16.44,13.56,15.07,12.02,0.00,10.17,6787.54,6239.89,8.77,9.34,29.00,16.50,3.00,1.00,7.00,19.14,0.00,0.00,4.11,7.67,106.00,98.82,1.14,0.00,144.00,160.83,127.00,120.22,270.00,280.75,1885.99,1921.90,1169.51,1106.53,511.62,416.52,383.56,547.31,50.86,74.51,84.21,127.09,155.71,242.13,84.82,72.03,83.00,73.78,3.00,10.00,0.00,3.00,23.70,57.66,36.99,64.82,3.53,4.91,4.71,20.88,29.00,23.71,107.00,109.83
1951,-0.38,0.98,-15.15,-12.88,6.62,6.30,12.79,13.07,-5.47,-2.90,70.32,71.61,213.00,215.19,155.00,147.38,257.00,247.83,126.00,98.33,133.00,115.00,66.00,52.00,20.55,13.42,17.81,11.95,0.00,10.52,6713.75,6226.40,7.40,9.38,12.00,16.60,0.00,1.00,12.00,19.43,0.00,0.00,3.56,7.79,101.00,99.05,0.00,0.00,152.00,161.16,114.00,120.01,265.00,280.86,1786.30,1925.70,1036.15,1109.06,390.09,418.51,556.61,546.36,96.45,74.06,124.47,127.34,211.39,241.91,127.57,71.81,97.00,73.65,6.00,10.00,1.00,3.00,63.45,57.53,67.27,64.76,4.09,4.90,9.75,20.88,23.00,23.88,135.00,109.75
1952,2.46,1.02,-13.97,-12.80,8.08,6.32,13.11,13.08,0.70,-2.88,66.90,71.54,199.00,215.00,147.00,147.31,242.00,248.00,88.00,98.00,107.00,114.50,43.00,51.57,7.95,13.29,5.48,11.87,18.00,10.88,5676.18,6212.90,11.51,9.42,14.00,16.70,0.00,1.00,43.00,19.73,0.00,0.00,10.68,7.92,94.00,99.27,0.00,0.00,214.00,161.48,101.00,119.80,314.00,280.98,2306.66,1929.51,1289.53,1111.59,465.60,420.49,445.68,545.41,78.64,73.61,128.27,127.58,223.20,241.69,20.26,71.60,70.00,73.52,11.00,10.00,3.00,3.00,49.41,57.40,53.79,64.70,4.92,4.90,19.25,20.87,42.00,24.06,89.00,109.67
1953,2.63,1.05,-10.46,-12.71,5.79,6.34,13.46,13.10,0.51,-2.85,74.05,71.47,200.00,214.81,144.00,147.25,269.00,248.17,71.00,97.67,105.00,114.00,26.00,51.14,5.48,13.15,8.77,11.80,12.00,11.23,5621.15,6199.41,10.14,9.47,17.00,16.80,0.00,1.00,24.00,20.03,0.00,0.00,10.41,8.05,124.00,99.50,0.53,0.00,181.00,161.81,122.00,119.59,302.00,281.10,2084.66,1933.31,1196.18,1114.11,427.69,422.48,563.47,544.46,110.80,73.16,156.19,127.83,250.39,241.47,33.32,71.38,86.00,73.39,9.00,10.00,3.00,3.00,63.94,57.27,65.48,64.64,4.89,4.89,21.66,20.86,22.00,24.24,113.00,109.58
1954,1.13,1.09,-11.69,-12.63,2.28,6.36,12.86,13.11,1.50,-2.83,72.84,71.40,208.00,214.63,135.00,147.19,260.00,248.33,95.00,97.33,95.00,113.50,45.00,50.71,15.07,13.01,17.81,11.73,31.00,11.58,6159.51,6185.92,10.14,9.51,7.00,16.90,0.00,1.00,38.00,20.33,0.00,0.00,11.51,8.17,124.00,99.73,0.00,0.00,149.00,162.13,123.00,119.39,271.00,281.22,1715.71,1937.11,978.15,1116.64,351.13,424.46,680.62,543.51,66.12,72.70,298.71,128.08,297.09,241.25,22.53,71.17,81.00,73.26,19.00,10.00,7.00,3.00,70.27,57.14,73.64,64.59,5.78,4.89,30.38,20.86,24.00,24.41,115.00,109.50
1955,-0.08,1.13,-10.91,-12.54,5.10,6.38,13.59,13.13,-8.22,-2.81,71.11,71.33,223.00,214.44,141.00,147.13,252.00,248.50,117.00,97.00,121.00,113.00,79.00,50.29,17.26,12.88,17.53,11.65,14.00,11.94,6625.50,6172.42,9.59,9.55,23.00,17.00,2.00,1.00,16.00,20.63,0.00,0.00,6.30,8.30,110.00,99.95,2.58,0.00,150.00,162.45,121.00,119.18,270.00,281.34,1795.11,1940.91,1057.99,1119.17,441.86,426.45,586.43,542.56,50.70,72.25,153.39,128.32,259.17,241.02,110.51,70.96,73.00,73.13,12.00,10.00,4.00,3.00,85.83,57.01,92.90,64.53,5.05,4.89,28.23,20.85,20.00,24.59,113.00,109.42
1956,1.39,1.17,-15.01,-12.46,6.77,6.40,13.75,13.15,-3.05,-2.78,72.45,71.26,213.00,214.25,148.00,147.06,245.00,248.67,91.00,96.67,104.00,112.50,62.00,49.86,11.78,12.74,11.51,11.58,30.00,12.29,6080.80,6158.93,13.15,9.59,22.00,17.10,0.00,1.00,38.00,20.92,0.00,0.00,16.16,8.43,96.00,100.18,0.53,0.00,168.00,162.78,125.00,118.97,292.00,281.46,2030.12,1944.72,1223.79,1121.70,536.18,428.43,503.40,541.61,98.80,71.80,139.02,128.57,203.44,240.80,80.58,70.74,71.00,73.00,11.00,10.00,3.00,3.00,44.70,56.88,47.06,64.47,4.80,4.88,22.64,20.85,33.00,24.76,100.00,109.33
1957,1.58,1.20,-11.40,-12.37,7.04,6.42,12.63,13.16,-1.20,-2.76,64.72,71.19,209.00,214.06,162.00,147.00,260.00,248.83,103.00,96.33,108.00,112.00,34.00,49.43,12.60,12.60,10.14,11.51,13.00,12.65,5994.56,6145.43,6.85,9.63,6.00,17.20,0.00,1.00,19.00,21.22,0.00,0.00,10.41,8.55,97.00,100.41,0.00,0.00,168.00,163.10,108.00,118.77,275.00,281.58,1952.32,1948.52,1129.74,1124.23,420.72,430.42,560.84,540.66,59.52,71.35,82.11,128.81,283.95,240.58,137.25,70.53,85.00,72.87,13.00,10.00,2.00,3.00,60.98,56.75,72.43,64.41,4.87,4.88,18.83,20.84,14.00,24.94,113.00,109.25
1958,2.39,1.24,-10.41,-12.29,7.01,6.44,14.05,13.18,-2.59,-2.74,65.95,71.12,219.00,213.88,138.00,146.94,246.00,249.00,98.00,96.00,109.00,111.50,26.00,49.00,10.68,12.47,6.03,11.43,14.00,13.00,5709.04,6131.94,10.68,9.67,30.00,17.30,0.00,1.00,16.00,21.52,0.00,0.00,9.32,8.68,107.00,100.64,0.00,0.00,174.00,163.43,123.00,118.56,296.00,281.70,2061.97,1952.32,1230.69,1126.76,522.63,432.40,359.76,539.71,60.11,70.90,99.60,129.06,124.74,240.36,70.14,70.31,56.00,72.74,6.00,10.00,0.00,3.00,31.13,56.62,41.49,64.35,3.59,4.87,4.74,20.84,31.00,25.12,94.00,109.17
1959,1.38,1.28,-11.76,-12.21,6.22,6.46,12.44,13.19,-1.98,-2.71,71.22,71.05,225.00,213.69,150.00,146.88,241.00,249.17,86.00,95.67,103.00,111.00,44.00,48.57,18.63,12.33,11.78,11.36,29.00,13.35,6078.76,6118.44,7.95,9.71,16.00,17.40,3.00,1.00,31.00,21.82,0.00,0.00,9.04,8.81,90.00,100.86,0.69,0.00,146.00,163.75,132.00,118.35,277.00,281.82,1678.42,1956.12,962.21,1129.28,340.04,434.39,441.80,538.76,60.01,70.45,116.72,129.31,179.62,240.14,79.45,70.10,68.00,72.61,5.00,10.00,2.00,3.00,31.39,56.49,40.04,64.30,3.72,4.87,9.59,20.83,27.00,25.29,111.00,109.08
1960,2.21,1.32,-10.86,-12.12,6.08,6.49,14.16,13.21,-1.86,-2.69,67.22,70.98,217.00,213.50,156.00,146.81,242.00,249.33,95.00,95.33,112.00,110.50,41.00,48.14,9.86,12.19,4.38,11.29,0.00,13.71,5792.10,6104.95,11.51,9.75,26.00,17.50,3.00,1.00,13.00,22.11,0.00,0.00,8.49,8.94,85.00,101.09,1.53,0.00,175.00,164.08,126.00,118.14,300.00,281.94,1990.03,1959.92,1134.34,1131.81,452.42,436.37,449.92,537.81,61.67,70.00,113.52,129.55,230.29,239.92,54.31,69.89,62.00,72.48,7.00,10.00,2.00,3.00,53.67,56.36,64.18,64.24,4.34,4.86,14.00,20.83,22.00,25.47,97.00,109.00
1961,2.17,1.35,-7.28,-12.04,8.02,6.51,14.18,13.22,-5.72,-2.67,70.66,70.91,226.00,213.31,137.00,146.75,253.00,249.50,91.00,95.00,121.00,110.00,39.00,47.71,13.42,12.05,11.51,11.21,17.00,14.06,5823.17,6091.45,15.62,9.80,44.00,17.60,8.00,1.00,28.00,22.41,0.00,0.00,13.70,9.06,115.00,101.32,1.11,0.00,148.00,164.40,132.00,117.94,279.00,282.06,2026.56,1963.73,1307.99,1134.34,672.06,438.36,543.44,536.86,47.83,69.54,134.99,129.80,217.23,239.69,139.64,69.67,68.00,72.35,15.00,10.00,2.00,3.00,39.36,56.23,50.05,64.18,4.94,4.86,18.11,20.82,14.00,25.65,105.00,108.92
1962,2.07,1.39,-12.64,-11.95,6.50,6.53,13.30,13.24,0.37,-2.65,71.53,70.84,203.00,213.13,129.00,146.69,245.00,249.67,87.00,94.67,99.00,109.50,42.00,47.29,8.49,11.92,7.95,11.14,26.00,14.42,5821.71,6077.96,8.77,9.84,16.00,17.70,0.00,1.00,25.00,22.71,0.00,0.00,9.59,9.19,115.00,101.55,0.00,0.00,155.00,164.73,128.00,117.73,282.00,282.18,1890.61,1967.53,1119.16,1136.87,435.30,440.34,541.67,535.91,108.75,69.09,137.97,130.04,226.72,239.47,50.25,69.46,79.00,72.22,10.00,10.00,3.00,3.00,39.02,56.10,41.32,64.12,4.45,4.86,20.50,20.81,24.00,25.82,115.00,108.83
1963,2.64,1.43,-9.68,-11.87,6.51,6.55,14.72,13.25,-2.76,-2.62,68.61,70.77,205.00,212.94,147.00,146.63,263.00,249.83,82.00,94.33,98.00,109.00,38.00,46.86,6.58,11.78,6.30,11.07,24.00,14.77,5622.07,6064.46,10.96,9.88,30.00,17.80,2.00,1.00,29.00,23.01,0.00,0.00,14.25,9.32,115.00,101.77,1.38,0.00,172.00,165.05,125.00,117.52,296.00,282.30,2164.08,1971.33,1311.61,1139.40,566.49,442.33,424.78,534.96,113.92,68.64,128.97,130.29,145.87,239.25,56.96,69.24,66.00,72.09,3.00,10.00,2.00,3.00,26.17,55.97,34.11,64.06,3.87,4.85,15.26,20.81,15.00,26.00,102.00,108.75
1964,1.43,1.46,-7.27,-11.79,5.68,6.57,12.37,13.27,-3.55,-2.60,68.17,70.70,207.00,212.75,144.00,146.56,248.00,250.00,93.00,94.00,103.00,108.50,46.00,46.43,11.51,11.64,12.05,10.99,15.00,15.12,6058.21,6050.97,7.12,9.92,13.00,17.90,2.00,1.00,15.00,23.30,0.00,0.00,8.77,9.44,103.00,102.00,0.10,0.00,180.00,165.38,118.00,117.32,297.00,282.42,1985.22,1975.13,1097.72,1141.92,398.62,444.31,590.73,534.02,55.06,68.19,153.28,130.54,294.88,239.03,83.63,69.03,71.00,71.96,13.00,10.00,2.00,3.00,65.34,55.84,68.91,64.01,5.28,4.85,23.94,20.80,21.00,26.18,105.00,108.67
1965,0.75,1.50,-13.54,-11.70,4.73,6.59,12.93,13.28,-1.94,-2.58,70.74,70.63,221.00,212.56,141.00,146.50,249.00,250.17,107.00,93.67,117.00,108.00,55.00,46.00,13.15,11.51,16.16,10.92,8.00,15.48,6320.64,6037.47,9.04,9.96,26.00,18.00,2.00,1.00,23.00,23.60,0.00,0.00,9.86,9.57,107.00,102.23,1.57,0.00,141.00,165.70,113.00,117.11,253.00,282.54,1754.25,1978.94,1052.00,1144.45,474.02,446.30,613.09,533.07,111.37,67.74,111.55,130.78,344.79,238.81,39.93,68.82,76.00,71.83,12.00,10.00,3.00,3.00,119.65,55.71,124.32,63.95,5.20,4.84,25.37,20.80,34.00,26.35,111.00,108.58
1966,0.40,1.54,-15.72,-11.62,5.67,6.61,13.25,13.30,-4.35,-2.55,71.63,70.56,206.00,212.38,157.00,146.44,273.00,250.33,109.00,93.33,128.00,107.50,55.00,45.57,13.15,11.37,14.52,10.85,8.00,15.83,6425.14,6023.98,7.95,10.00,12.00,18.10,0.00,1.00,7.00,23.90,0.00,0.00,7.40,9.70,115.00,102.45,0.00,0.00,199.00,166.03,85.00,116.90,283.00,282.66,2030.05,1982.74,1136.01,1146.98,392.05,448.28,494.36,532.12,88.49,67.29,110.53,131.03,246.79,238.59,57.82,68.60,61.00,71.70,11.00,10.00,2.00,3.00,68.95,55.58,68.95,63.89,4.94,4.84,25.85,20.79,21.00,26.53,92.00,108.50
1967,1.77,1.58,-11.49,-11.53,4.59,6.63,15.11,13.31,-1.60,-2.53,66.02,70.49,219.00,212.19,155.00,146.38,206.00,250.50,89.00,93.00,113.00,107.00,48.00,45.14,10.68,11.23,7.67,10.77,6.00,16.19,5940.14,6010.48,12.60,10.04,39.00,18.20,1.00,1.00,28.00,24.20,0.00,0.00,9.32,9.82,59.00,102.68,0.00,0.00,142.00,166.35,133.00,116.69,274.00,282.78,1965.98,1986.54,1258.48,1149.51,578.93,450.27,333.14,531.17,87.34,66.84,72.12,131.27,55.03,238.36,96.62,68.39,49.00,71.57,6.00,10.00,0.00,3.00,27.20,55.45,28.74,63.83,3.30,4.84,0.00,20.79,34.00,26.71,93.00,108.42
1968,1.18,1.61,-10.58,-11.45,6.74,6.65,12.52,13.33,-2.96,-2.51,70.50,70.43,220.00,212.00,165.00,146.31,263.00,250.67,84.00,92.67,104.00,106.50,49.00,44.71,10.41,11.10,8.77,10.70,22.00,16.54,6143.48,5996.99,9.04,10.08,10.00,18.30,1.00,1.00,28.00,24.50,0.00,0.00,5.75,9.95,97.00,102.91,0.00,0.00,167.00,166.68,113.00,116.49,279.00,282.89,1844.72,1990.34,1023.34,1152.04,361.04,452.25,434.40,530.22,88.60,66.38,102.42,131.52,206.85,238.14,46.44,68.17,60.00,71.43,9.00,10.00,1.00,3.00,32.54,55.32,33.57,63.77,4.08,4.83,12.57,20.78,21.00,26.88,99.00,108.33
1969,0.59,1.65,-18.62,-11.36,7.31,6.67,12.52,13.34,-1.67,-2.48,76.44,70.36,213.00,211.81,164.00,146.25,258.00,250.83,95.00,92.33,120.00,106.00,61.00,44.29,16.99,10.96,12.88,10.63,9.00,16.89,6358.43,5983.50,9.04,10.13,22.00,18.40,1.00,1.00,27.00,24.79,0.00,0.00,5.75,10.08,93.00,103.14,0.00,0.00,185.00,167.00,99.00,116.28,283.00,283.01,1986.83,1994.14,1089.41,1154.57,405.98,454.24,501.40,529.27,72.65,65.93,74.68,131.77,284.16,237.92,85.35,67.96,67.00,71.30,10.00,10.00,4.00,3.00,55.46,55.19,66.93,63.72,5.06,4.83,23.24,20.78,31.00,27.06,93.00,108.25
1970,0.85,1.69,-10.48,-11.28,6.93,6.69,13.22,13.36,-6.56,-2.46,76.92,70.29,226.00,211.63,149.00,146.19,250.00,251.00,94.00,92.00,109.00,105.50,56.00,43.86,13.97,10.82,9.59,10.55,0.00,17.25,6272.25,5970.00,9.04,10.17,27.00,18.50,2.00,1.00,29.00,25.09,0.00,0.00,4.93,10.20,100.00,103.36,0.00,0.00,159.00,167.32,120.00,116.07,278.00,283.13,1934.49,1997.95,1171.10,1157.09,494.55,456.22,455.51,528.32,58.50,65.48,86.14,132.01,231.58,237.70,77.25,67.75,61.00,71.17,11.00,10.00,2.00,3.00,48.46,55.06,63.90,63.66,4.82,4.82,22.81,20.77,25.00,27.24,87.00,108.17
