Station:,"54,-115.8451",,,,Station ID:,48,,Begin Yr:,1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lat:,54,Lon:,-115.8451004,,Country:,Canada,,End Yr:,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trend (/yr):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Significance:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,125Fd,125Fd Trendline,141ETR,141ETR Trendline,143GSL,143GSL Trendline,144HWDI,144HWDI Trendline,191Tx10,191Tx10 Trendline,192Tx90,192Tx90 Trendline,193Tn10,193Tn10 Trendline,194Tn90,194Tn90 Trendline,606R10,606R10 Trendline,641CDD,641CDD Trendline,644R5D,644R5D Trendline,646SDII,646SDII Trendline,695R95T,695R95T Trendline,001TxGE,001TxGE Trendline,002TxLE,002TxLE Trendline,003TnGE,003TnGE Trendline,004TnLE,004TnLE Trendline,101AnnP,101AnnP Trendline,102GDD5,102GDD5 Trendline,103GDD10,103GDD10 Trendline,104GDD0,104GDD0 Trendline,106Prcp20,106Prcp20 Trendline,107Prcp25,107Prcp25 Trendline,108Prcp10,108Prcp10 Trendline,109GSL_B,109GSL_B Trendline,110GSL_E,110GSL_E Trendline
1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,224.00,216.00,79.43,71.68,144.00,160.83,7.00,19.14,15.07,12.02,8.77,9.34,16.44,13.56,4.11,7.67,3.00,10.00,29.00,23.71,36.99,64.82,3.53,4.91,4.71,20.88,29.00,16.50,123.00,98.67,324.00,333.35,224.00,216.00,383.56,547.31,1253.27,1238.47,772.69,722.93,2212.69,2363.74,0.00,3.00,0.00,1.00,3.00,10.00,127.00,120.22,270.00,280.75
1951,215.00,215.80,70.32,71.61,152.00,161.16,12.00,19.43,17.81,11.95,7.40,9.38,20.55,13.42,3.56,7.79,6.00,10.00,23.00,23.88,67.27,64.76,4.09,4.90,9.75,20.88,12.00,16.60,126.00,98.33,327.00,333.66,215.00,215.80,556.61,546.36,1141.31,1241.18,669.67,724.24,2189.66,2368.23,1.00,3.00,1.00,1.00,6.00,10.00,114.00,120.01,265.00,280.86
1952,199.00,215.60,66.90,71.54,214.00,161.48,43.00,19.73,5.48,11.87,11.51,9.42,7.95,13.29,10.68,7.92,11.00,10.00,42.00,24.06,53.79,64.70,4.92,4.90,19.25,20.87,14.00,16.70,88.00,98.00,342.00,333.97,199.00,215.60,445.68,545.41,1492.83,1243.90,866.61,725.55,3006.61,2372.72,3.00,3.00,0.00,1.00,11.00,10.00,101.00,119.80,314.00,280.98
1953,200.00,215.40,74.05,71.47,181.00,161.81,24.00,20.03,8.77,11.80,10.14,9.47,5.48,13.15,10.41,8.05,9.00,10.00,22.00,24.24,65.48,64.64,4.89,4.89,21.66,20.86,17.00,16.80,71.00,97.67,351.00,334.28,200.00,215.40,563.47,544.46,1328.85,1246.61,766.94,726.86,2576.94,2377.20,3.00,3.00,2.00,1.00,9.00,10.00,122.00,119.59,302.00,281.10
1954,208.00,215.20,72.84,71.40,149.00,162.13,38.00,20.33,17.81,11.73,10.14,9.51,15.07,13.01,11.51,8.17,19.00,10.00,24.00,24.41,73.64,64.59,5.78,4.89,30.38,20.86,7.00,16.90,95.00,97.33,333.00,334.59,208.00,215.20,680.62,543.51,1057.04,1249.32,585.06,728.16,2075.06,2381.69,7.00,3.00,2.00,1.00,19.00,10.00,123.00,119.39,271.00,281.22
1955,224.00,215.00,71.11,71.33,150.00,162.45,16.00,20.63,17.53,11.65,9.59,9.55,17.26,12.88,6.30,8.30,12.00,10.00,20.00,24.59,92.90,64.53,5.05,4.89,28.23,20.85,23.00,17.00,117.00,97.00,319.00,334.90,224.00,215.00,586.43,542.56,1172.06,1252.03,700.39,729.47,2200.39,2386.18,4.00,3.00,2.00,1.00,12.00,10.00,121.00,119.18,270.00,281.34
1956,213.00,214.80,72.45,71.26,168.00,162.78,38.00,20.92,11.51,11.58,13.15,9.59,11.78,12.74,16.16,8.43,11.00,10.00,33.00,24.76,47.06,64.47,4.80,4.88,22.64,20.85,22.00,17.10,91.00,96.67,329.00,335.21,213.00,214.80,503.40,541.61,1322.47,1254.74,770.60,730.78,2450.60,2390.66,3.00,3.00,2.00,1.00,11.00,10.00,125.00,118.97,292.00,281.46
1957,209.00,214.60,64.72,71.19,168.00,163.10,19.00,21.22,10.14,11.51,6.85,9.63,12.60,12.60,10.41,8.55,13.00,10.00,14.00,24.94,72.43,64.41,4.87,4.88,18.83,20.84,6.00,17.20,103.00,96.33,341.00,335.52,209.00,214.60,560.84,540.66,1232.47,1257.45,719.63,732.09,2399.64,2395.15,2.00,3.00,1.00,1.00,13.00,10.00,108.00,118.77,275.00,281.58
1958,219.00,214.40,65.95,71.12,174.00,163.43,16.00,21.52,6.03,11.43,10.68,9.67,10.68,12.47,9.32,8.68,6.00,10.00,31.00,25.12,41.49,64.35,3.59,4.87,4.74,20.84,31.00,17.30,98.00,96.00,358.00,335.83,219.00,214.40,359.76,539.71,1371.42,1260.16,828.04,733.40,2568.05,2399.64,0.00,3.00,0.00,1.00,6.00,10.00,123.00,118.56,296.00,281.70
