Latitude,Longitude,125Fd,141ETR,143GSL,144HWDI,191Tx10,192Tx90,193Tn10,194Tn90,606R10,641CDD,644R5D,646SDII,695R95T,001TxGE,002TxLE,003TnGE,004TnLE,101AnnP,102GDD5,103GDD10,104GDD0,106Prcp20,107Prcp25,108Prcp10,109GSL_B,110GSL_E
50.5006,-120.09,-0.428571429,-0.067875991,0.283482143,0.035098522,-0.070200275,0.06537338,-0.154481833,0.207698136,0.043478261,0,0.064305257,0.001084425,0.12713117,0.079473684,-0.225,0.085106383,-0.428571429,1.132669505,2.803918318,1.264534723,4.091452287,0,0,0.043478261,-0.126329787,0.166666667
50.4477,-115.4769,-0.166666667,-0.066271179,0,-0.166666667,-0.039546647,-0.031461692,-0.101761259,0.067892319,-0.026671408,-0.044466403,-0.133222987,-0.02590598,-0.0843074,0.038461538,0.12202381,0.2,-0.166666667,0.344103824,0.201090495,0.278382351,0.324544386,0,0,-0.026671408,-0.138409962,-0.078461538
50.6701,-110.8944,-0.224014337,-0.055469248,0.232405892,0.333333333,-0.041369069,0.089120732,-0.091324201,0.15220699,0,-0.10840188,0.058878104,-0.013989048,0.062843661,0.144599303,-0.333333333,0.256776557,-0.224014337,0.280012704,1.819747433,0.866323242,3.097231463,0,0,0,-0.293400287,-0.022474747
50.9055,-108.0639,-0.325765306,-0.028032373,0.161395349,0.412778905,-0.05560035,0.08466262,-0.11109751,0.195694715,0,-0.033908046,0.051666675,-0.010170389,0.138152596,0.14160401,-0.341186253,0.236068111,-0.325765306,0.980781122,3.114831155,1.796796899,2.991200588,0,0,0,-0.2,0
50.5841,-114.6543,0,-0.102063719,0.14,-0.024099884,-0.03677649,0.014419612,-0.088024734,0.063820739,-0.108108108,-0.043478261,-0.053533171,-0.029281994,-0.098092186,0.071428571,-0.153846154,0.284161491,0,-1.352508545,0.32055861,0.316582235,1.637729492,0,0,-0.108108108,-0.067816092,0
50.6211,-117.6193,-0.315037594,-0.109910999,0.125,-0.085144928,-0.039138947,0.01304631,-0.152654699,0.196120137,0.136363636,-0.068181818,0.213034279,-0.00611414,0.231318284,0.066666667,-0.055555556,0.06155303,-0.315037594,1.886662438,1.454706247,0.269740834,1.571494214,0.047619048,0,0.136363636,-0.079277865,0.059714795
50.7142,-118.1102,-0.411010558,-0.1473518,0.054804805,-0.117647059,-0.018745504,-0.007942914,-0.22775363,0.250489235,0.277777778,-0.045454545,0.400333434,0.004505803,0.243345556,0,0.036472149,0.072299652,-0.411010558,4.878498501,1.071424681,-0.267050273,0.375688409,0.057142857,0,0.277777778,-0.024695122,0.048780488
50.3852,-111.6691,-0.142857143,-0.048533173,0.285714286,0.366666667,-0.056741871,0.082191753,-0.055301915,0.11563419,-0.029857398,-0.081666667,-0.001310317,-0.013269929,-0.086796718,0.111111111,-0.333333333,0.204545455,-0.142857143,-0.370574586,1.502969899,0.823751672,3.80078484,0,0,-0.029857398,-0.285714286,0
50.7397,-111.0624,-0.185615848,-0.042667869,0.239047619,0.304292929,-0.047997752,0.099280467,-0.078277894,0.141271298,0,-0.058823529,0.109589761,-0.010925026,0.074260699,0.152680653,-0.363636364,0.25,-0.185615848,0.361336263,1.871664237,1.039140382,3.30121779,0,0,0,-0.28125,0
50.8584,-116.8397,-0.166666667,-0.066590829,0.027027027,-0.066666667,-0.015220695,0.011224626,-0.068493181,0.109589039,0.071428571,-0.008928571,0.09300637,-0.017386324,0.122298395,0.025320513,0.028991597,0.1,-0.166666667,2.044300079,0.393928579,-0.03244732,0.157898462,0.023255814,0,0.071428571,0,0.038461538
50.8032,-111.9581,-0.158492823,-0.023079179,0.25,0.35,-0.056222974,0.080383632,-0.04834809,0.127853889,0,-0.088562092,0.069055826,-0.014696086,-0.023856114,0.151844532,-0.365619137,0.224744898,-0.158492823,-0.25360132,1.405988159,1.027649656,3.538099973,0,0,0,-0.245255997,0.021780303
50.5809,-118.7886,-0.428571429,-0.115055271,0.067816092,-0.076923077,-0.032554381,-0.007410075,-0.173931093,0.228310506,0.157894737,-0.066666667,0.181362455,-0.002989082,0.21679705,0.033370412,-0.047619048,0.048780488,-0.428571429,1.959829003,1.747260558,0.306934962,0.779499804,0,0,0.157894737,-0.044444444,0.025062657
50.5087,-108.3916,-0.364745011,-0.04250012,0.184697856,0.287087912,-0.056880797,0.074383213,-0.119863003,0.188356161,0,-0.095238095,-0.073888885,-0.015262096,-0.004870892,0.118145563,-0.290322581,0.260064412,-0.364745011,0.443645672,2.911923477,1.553404249,2.970792716,0,0,0,-0.222222222,0
50.7066,-115.5878,0,-0.009444343,0.146700143,0,-0.04371108,0.032554381,-0.029640313,0.054794502,-0.048780488,-0.028991597,-0.176794353,-0.022332843,-0.052073873,0.142857143,-0.076923077,0.111111111,0,-0.407787348,1.010757835,0.776423371,2.365406846,0,0,-0.048780488,-0.032795699,0.06936648
50.7369,-114.276,-0.265686275,-0.056877101,0.238095238,0.240689655,-0.068493152,0.093742543,-0.107088484,0.180036072,-0.052631579,0,-0.076358952,-0.019129197,-0.035895138,0.220867209,-0.3,0.290615836,-0.265686275,-1.174832735,2.379730575,1.541166363,4.168801341,0,0,-0.052631579,-0.079473684,0.166666667
50.8075,-109.7762,-0.214285714,-0.025000159,0.267479675,0.333333333,-0.038595347,0.082191753,-0.089514203,0.120870261,0,-0.071428571,0.058000007,-0.009351644,0.020287116,0.088562092,-0.301515152,0.258064516,-0.214285714,0.056623649,2.01285008,0.983867098,3.772040264,0,0,0,-0.301515152,0
