CSV Index Title,Variable Name,Column Number,Units,COLOR,NCOLOR
01TMEAN Trendline,tmean,2,¡C,blue,red
02TWinter Trendline,twinter,4,¡C,blue ,red
03TSpring Trendline,tspring,6,¡C,blue,red
04TSummer Trendline,tsummer,8,¡C,blue,red
05TFall Trendline,tfall,10,¡C,blue,red
06TRange Trendline,trange,12,¡C,green,red
21FrostDays Trendline,frostdays,14,Days,red,blue
22FrostLast Trendline,frostlast,16,Julian day,red,blue
23FrostFirst Trendline,frostfirst,18,Julian day,blue,red
24IceDays Trendline,icedays,20,Days,red,blue
25Tmin10 Trendline,tmin10,22,Days,red,blue
26Tmin20 Trendline,tmin20,24,Days,red,blue
27ColdNights Trendline,coldnights,26,%,red,blue
28ColdDays Trendline,colddays,28,%,red,blue
29ColdSpell Trendline,Coldspell,30,Days,red,blue
30HeatingDD Trendline,heatingdd,32,¡C,red,blue
40Tmax90 Trendline,tmax90,34,%,blue,red
41SummerDays Trendline,summerdays,36,Days,blue,red
42Tmax30 Trendline,tmax30,38,Days,blue,red
43HWDI Trendline,hwdi,40,Days,blue,red
44TropNight Trendline,tropnight,42,Days,blue,red
45Tmin90 Trendline,tmin90,44,%,blue,red
46FrostFree Trendline,frostfree,46,Days,blue,red
47CoolingDD Trendline,coolingdd,48,¡C,blue,red
61GSL Trendline,gsl,50,Days,red,green
62GSLBegin Trendline,gslbegin,52,Julian Day,red,green
63GSLEnd Trendline,gslend,54,Julian Day,red,green
64GDD0 Trendline,gdd0,56,¡C,red,green
65GDD5 Trendline,gdd5,58,¡C,red,green
66GDD10 Trendline,gdd10,60,¡C,red,green
81PAnnual Trendline,pannual,62,mm,red,blue
82PWinter Trendline,pwinter,64,mm,red,blue
83PSpring Trendline,pspring,66,mm,red,blue
84PSummer Trendline,psummer,68,mm,red,blue
85PFall Trendline,pfall,70,mm,red,blue
86Pge2 Trendline,pge2,72,Days,red,blue
87Pge10 Trendline,pge10,74,Days,red,blue
88Pge20 Trendline,pge20,76,Days,red,blue
89P3days Trendline,p3days,78,mm,red,blue
90P5days Trendline,p5days,80,mm,red,blue
91SDPI Trendline,sdpi,82,mm,red,blue
92Pge95 Trendline,pge95,84,%,red,blue
93DryPeriod Trendline,dryperiod,86,days,blue,red
94PDays1 Trendline,pdays1,88,days,red,blue
